Codice A Barre;Codice Articolo;Descrizione;Descrizione;Classe Logistica;Descrizione Articolo;Codice Marca;Codice Listino;Prezzo;colore;taglia;Quantita' Giacenza (um Magazzino);Tipo;MARCHIO
8056309757444;EFRJB1907AC180;AVIER;;;GIUBBINO JUNIOR BOY FREEDOMDAY AVIER;S22;ITA;55,000000;041;6;1,0000;2;
8056309757451;EFRJB1907AC180;AVIER;;;GIUBBINO JUNIOR BOY FREEDOMDAY AVIER;S22;EU1;63,500000;041;8;1,0000;2;
8056309757451;EFRJB1907AC180;AVIER;;;GIUBBINO JUNIOR BOY FREEDOMDAY AVIER;S22;ITA;55,000000;041;8;1,0000;2;
8056309757475;EFRJB1907AC180;AVIER;;;GIUBBINO JUNIOR BOY FREEDOMDAY AVIER;S22;EU2;60,500000;041;12;0,0000;2;
8056309757482;EFRJB1907AC180;AVIER;;;GIUBBINO JUNIOR BOY FREEDOMDAY AVIER;S22;EU2;60,500000;041;14;1,0000;2;
8056309757505;EFRJB1907AC180;AVIER;;;GIUBBINO JUNIOR BOY FREEDOMDAY AVIER;S22;EU1;63,500000;044;2;0,0000;2;
8056309757512;EFRJB1907AC180;AVIER;;;GIUBBINO JUNIOR BOY FREEDOMDAY AVIER;S22;EU1;63,500000;044;4;0,0000;2;
8056309757512;EFRJB1907AC180;AVIER;;;GIUBBINO JUNIOR BOY FREEDOMDAY AVIER;S22;ITA;55,000000;044;4;0,0000;2;
8056309757529;EFRJB1907AC180;AVIER;;;GIUBBINO JUNIOR BOY FREEDOMDAY AVIER;S22;ITA;55,000000;044;6;1,0000;2;
8056309757536;EFRJB1907AC180;AVIER;;;GIUBBINO JUNIOR BOY FREEDOMDAY AVIER;S22;EU1;63,500000;044;8;3,0000;2;
8056309757581;EFRJB1909AC404;DARDEN;;;GIUBBINO JUNIOR BOY FREEDOMDAY DARDEN;S22;EU2;82,500000;013;2;0,0000;2;
8056309757598;EFRJB1909AC404;DARDEN;;;GIUBBINO JUNIOR BOY FREEDOMDAY DARDEN;S22;EU2;82,500000;013;4;0,0000;2;
8056309757611;EFRJB1909AC404;DARDEN;;;GIUBBINO JUNIOR BOY FREEDOMDAY DARDEN;S22;ITA;75,000000;013;8;0,0000;2;
8056309757642;EFRJB1909AC404;DARDEN;;;GIUBBINO JUNIOR BOY FREEDOMDAY DARDEN;S22;EU1;86,500000;013;14;0,0000;2;
8056309757659;EFRJB1909AC404;DARDEN;;;GIUBBINO JUNIOR BOY FREEDOMDAY DARDEN;S22;EU1;86,500000;013;16;0,0000;2;
8056309757703;EFRJB1909AC404;DARDEN;;;GIUBBINO JUNIOR BOY FREEDOMDAY DARDEN;S22;EU2;82,500000;041;10;0,0000;2;
8056309757710;EFRJB1909AC404;DARDEN;;;GIUBBINO JUNIOR BOY FREEDOMDAY DARDEN;S22;ITA;75,000000;041;12;0,0000;2;
8056309757727;EFRJB1909AC404;DARDEN;;;GIUBBINO JUNIOR BOY FREEDOMDAY DARDEN;S22;ITA;75,000000;041;14;0,0000;2;
8056309757741;EFRJB1910AC404;COLBY;;;GIUBBINO JUNIOR BOY FREEDOMDAY COLBY;S22;EU1;86,500000;013;2;0,0000;2;
8056309757765;EFRJB1910AC404;COLBY;;;GIUBBINO JUNIOR BOY FREEDOMDAY COLBY;S22;ITA;75,000000;013;6;0,0000;2;
8056309757840;EFRJB1910AC404;COLBY;;;GIUBBINO JUNIOR BOY FREEDOMDAY COLBY;S22;EU2;82,500000;031;6;0,0000;2;
8056309757925;EFRJB1910AC404;COLBY;;;GIUBBINO JUNIOR BOY FREEDOMDAY COLBY;S22;ITA;75,000000;114;6;0,0000;2;
8056309757949;EFRJB1910AC404;COLBY;;;GIUBBINO JUNIOR BOY FREEDOMDAY COLBY;S22;EU1;86,500000;114;10;0,0000;2;
8056309757956;EFRJB1910AC404;COLBY;;;GIUBBINO JUNIOR BOY FREEDOMDAY COLBY;S22;EU2;82,500000;114;12;0,0000;2;
8056309757987;EFRJB1911AC250;BENSON;;;GIUBBINO JUNIOR BOY FREEDOMDAY BENSON;S22;EU1;92,000000;000;2;0,0000;2;
8056309758021;EFRJB1911AC250;BENSON;;;GIUBBINO JUNIOR BOY FREEDOMDAY BENSON;S22;EU1;92,000000;000;10;0,0000;2;
8056309758069;EFRJB1911AC250;BENSON;;;GIUBBINO JUNIOR BOY FREEDOMDAY BENSON;S22;EU1;92,000000;013;2;0,0000;2;
8056309758113;EFRJB1911AC250;BENSON;;;GIUBBINO JUNIOR BOY FREEDOMDAY BENSON;S22;EU2;88,000000;013;12;1,0000;2;
